Feature,Brand,Response
 good_ refund _and_ return policy,Limelight,1
 good_ refund _and_ return policy,Limelight,1
 good_ refund _and_ return policy,Limelight,1
 good_ refund _and_ return policy,Limelight,1
 good_ refund _and_ return policy,Limelight,1
 good_ refund _and_ return policy,Limelight,1
 good_ refund _and_ return policy,Limelight,1
 good_ refund _and_ return policy,Limelight,1
 good_ refund _and_ return policy,Limelight,1
 good_ refund _and_ return policy,Limelight,1
 good_ refund _and_ return policy,Limelight,1
 bad_ refund _and_ return policy,Limelight,0
 bad_ refund _and_ return policy,Limelight,0
 bad_ refund _and_ return policy,Limelight,0
 bad_ refund _and_ return policy,Limelight,0
 bad_ refund _and_ return policy,Limelight,0
 bad_ refund _and_ return policy,Limelight,0
 bad_ refund _and_ return policy,Limelight,0
 bad_ refund _and_ return policy,Limelight,0
 bad_ refund _and_ return policy,Limelight,0
 bad_ refund _and_ return policy,Limelight,0
 bad_ refund _and_ return policy,Limelight,0
 bad_ refund _and_ return policy,Limelight,0
 good_ refund _and_ return policy,Bonanza Satrangi,1
 good_ refund _and_ return policy,Bonanza Satrangi,1
 good_ refund _and_ return policy,Bonanza Satrangi,1
 good_ refund _and_ return policy,Bonanza Satrangi,1
 good_ refund _and_ return policy,Bonanza Satrangi,1
 good_ refund _and_ return policy,Bonanza Satrangi,1
 good_ refund _and_ return policy,Bonanza Satrangi,1
 good_ refund _and_ return policy,Bonanza Satrangi,1
 good_ refund _and_ return policy,Bonanza Satrangi,1
 bad_ refund _and_ return policy,Bonanza Satrangi,0
 bad_ refund _and_ return policy,Bonanza Satrangi,0
 bad_ refund _and_ return policy,Bonanza Satrangi,0
 bad_ refund _and_ return policy,Bonanza Satrangi,0
 bad_ refund _and_ return policy,Bonanza Satrangi,0
 bad_ refund _and_ return policy,Bonanza Satrangi,0
 bad_ refund _and_ return policy,Bonanza Satrangi,0
 bad_ refund _and_ return policy,Bonanza Satrangi,0
 bad_ refund _and_ return policy,Bonanza Satrangi,0
 bad_ refund _and_ return policy,Bonanza Satrangi,0
 bad_ refund _and_ return policy,Bonanza Satrangi,0
 bad_ refund _and_ return policy,Bonanza Satrangi,0
 bad_ refund _and_ return policy,Bonanza Satrangi,0
 good_ refund _and_ return policy,Khaddi,1
 good_ refund _and_ return policy,Khaddi,1
 good_ refund _and_ return policy,Khaddi,1
 good_ refund _and_ return policy,Khaddi,1
